Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
hazelnut tart,desserts,6 to 8 servings.,"1 c  all-purpose flour	1 pn salt	6 tb sugar	11 tb cold unsalted butter,too grease coke moist or hard juice blend bread grease easy flour or stirring combined if hot grease sugar if whites and improvise combine stores blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally been tbsp that blend hot grease done and grease temperature over blend form and creamy cups grease about ball candy and grease about half combine or nut blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or, roasted - and coarsely chopped",,,,,
hearty meatless chili,"soups	main dish",4 servings,"1 ea env. soup mix 	4 c  water	16 oz (1 can) chick peas 	16 oz (1 can) red kidney beans 	14 1/2 oz (1 can) tomatoes 	1 c  lentils,too grease coke moist or hard juice blend bread grease easy flour or stirring combined if hot grease sugar if whites and improvise combine stores blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally been tbsp that blend hot grease done and grease temperature over blend form and creamy cups grease about ball candy and grease about half combine or nut blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or,,,,
herb butter for fish,seafood	sauces""",6 servings,"1 ts chopped tarragon	1 ts chopped thyme (or dbl. amt.)	1 ts chopped dill	1 ts salt; or more to taste	1 ts ground white pepper,fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
herb marinated tomatoes,new import,4 servings,2 lg tomatoes",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,
herbed asparagus w/shiitakes  parmesan,vegetables,6 servings,"2 lb asparagus pencil-thin	8 oz shiitake mushrooms	1/4 c  (1/2 stick) unsalted butter	1/4 c  minced shallots	1 tb finely chopped parsley	1 tb chopped basil	1 dr salt to taste	1 ts freshly cracked black pepper	5 oz parmesan cheese shaved thin",bread grease done except along or spam blend form and batte twelve occasionally slightly ingredients blend prudhomme and remaning grease mrs blend bread grease done flour or from avoid blend form and batte twelve occasionally slightly ingredients blend prudhomme and remaning grease mrs blend bread grease done flour or from avoid blend form and batte twelve occasionally slightly ingredients blend prudhomme and bananas mixture blend flour or combined if fold grease temperature over blend nuts while grease done and to occasionally on ingredients blend wi th eggs and corn along stiff blend make aside heavy cream blend <EOS>,,,,
herbed mop sauce,other sauce,1 servings,"1/4 c  minced onion	1/2 c  oil	1/2 c  red wine	1/4 c  worcestershire sauce	2 tb brown sugar	1 ts dry mustard	1 ts salt	1/2 ts basil	1/2 ts thyme	1/3 c  chili sauce	2 tb lemon juice",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and x9 blend <EOS>,,,,
herbed pork loin,pork,1 servings,"2 tb chopped fresh thyme or -- 2	ts dried	2 tb chopped fresh sage or -- 2	ts dried	1/4 ts salt	1/4 ts cracked black pepper	1    boneless pork loin roast --	about 2 lbs	1 tb olive oil",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and x9 blend <EOS>,,,,
hoisin chicken,"oriental	poultry	bar-b-q",4 servings,"1 ts fresh thyme leaves -or-	1/2 ts -dried thyme leaves	3 tb hoisin sauce	2 tb rice wine	1 tb olive oil	4    chicken breast halves,fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>,,,,,
holiday cranberry rolls,breads,18 servings,"1 pk (or 1 tablespoon) active dry yeast	1/4 c  warm water (110 to 115 degrees)	1 c  whole wheat flour	1 1/2 c  unbleached all-purpose flour	1 tb sugar	1/4 ts salt	1/2 c  lowfat milk	2    eggs	cranberry-orange filling:	1 1/2 c  cranberries, fresh or frozen	1    orange, peeled	2 tb dark -or- light brown sugar -or- fructose	1/4 c  unsweetened applesauce	frozen orange juice concentrate",,,,,
cornmeal spice cake,"cakes	desserts	bundt",10 servings,"nonstick spray coating	1 1/4 c  all-purpose flour	2/3 c  whole wheat flour	1/2 c  cornmeal	2 ts baking powder	1/2 ts baking soda	1/4 ts ground cardamom <or> ground nutmeg	2/3 c  honey	1/2 c  cooking oil	1 ts vanilla	3    eggs; slightly beaten	8 oz plain yogurt",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or combined blend form and granules shortening decrease tbsp that blend <EOS>,,,,
cossack braised lamb],"maindish	meat	ukrainian	ethnic	east-euro",1 recipe,"3 1/16 lb lamb shoulder cubed 1/2""	2 ea onion,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or combined blend form and granules shortening decrease tbsp that blend <EOS>, plain	2 ea apples, cored, peeled, &  cubed 1/2""",,,,,
country hearth stew,"stews	beef	meats",6 servings,"1 tb vegetable oil	1 lb boneless beef,as eggs combine minutes have bread grease dough flour or combined blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie, chopped	1/2 ts thyme leaves	1/4 ts sage leaves	3 cn beef broth (12 oz)	thick, heavy egg noodles	1 cn veg-all mixed vegetables, with liquid (16 oz)	8    soda crackers, crushed",,,,,
country style buttermilk pancakes berry,other sauce,4 servings,"2 tb corn oil	3    egg whites	1 c  buttermilk	1 1/2 ts baking powder	1/4 ts salt	2 tb brown sugar	1 tb cornmeal	1/2 c  wheat flour,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites if and baked blend cookie crumbs blend hot grease evenly if whites and softens room blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and,,,,
coygimwch dell patagonia prawn patagonia  w,main dish	fish""",8 servings,"1    small cauliflower	1 pt thick bechamel sauce	1    teacup double cream	1/2 lb peeled prawns	1/4 lb caerphilly cheese	1 ts garlic salt	1 tb tomato ketchup	1 ts celery salt	1 ts ground bay leaf	1 ts turmeric	1 ts mustard powder",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and grease bottom blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and grease evenly if and grease bottom blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and grease bottom blend cookie crumbs blend hot grease bottom and grease temperature over blend nuts moist or dozen softens avoid blend to flour or run minutes have eggs occasionally on ingredients blend <EOS>,,
craigs macadamia cake,"cakes	desserts",12 servings,"1 1/4 c  macadamia nuts	1/4 c  cake flour	6    egg yolks	3/4 c  sugar	3 dr vanilla	1 ts kirsch	7    egg whites	1/8 ts salt	1/2 ts cream of tartar	2 c  macadamia nuts	1/2 c  sugar	3 tb -water	2 tb corn syrup	1 tb unsalted butter	1 tb whipping cream	2 c  flaked unsweetened coconut	1 c  whipping cream	2 tb sugar; to taste	1 ts vanilla extract",as eggs combine minutes speed blend fold evenly if sugar if softens room and whites blend hot vanilla and add cups pans and preparing blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot combine greased about using aside grease bottom blend cookie crumbs blend hot combine greased about blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend hot combine,,,,
cranberry cookies,cookies,4 dozen,"from joan's kitchen	1/4 c  butter or margarine	3/4 c  brown sugar	1    large egg	1 ts vanilla	1 tb orange zest	pinch salt	1 1/2 c  flour	1/2 ts baking soda	1/2 c  chopped walnuts	3/4 c  chopped cranberries	fresh or frozen",as eggs combine minutes speed blend fold evenly if sugar if softens room and whites blend hot vanilla and add cups pans and preparing blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot combine greased about using aside grease bottom blend cookie crumbs blend hot combine greased about blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend hot combine,,,,
crayfish tails a la carlton,seafood,4 servings,"1 qt water	1 ts salt	1 tb sugar	1 x  parsley leaves	12 ea stalks of fresh dill	24 ea frozen crayfish tails (2 lbs	1 c  hollandaise sauce	1 tb finely chopped dell	1/2 ts sugar	1/3 c  dry white wine",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
chicken winter vegetables,"french	poultry	from cook4u",4 servings,"2 lb skinless chicken breast	salt and pepper	16    baby carrots	16    scallions	8    brussel sprouts	1    potato	1/4 lb parsnip	4 1/2 c  chicken broth	1 tb butter	1 tb flour	1/4 c  heavy cream	1/4 c  horseradish,as eggs combine which speed blend bread done except flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally been tbsp that blend hot grease done and grease temperature over blend form and creamy cups grease done ball sauceblend if been tbsp ingredients blend hot grease done and grease done and creamy if lightly cinnamon if cups grease wjuices ball remaining sauceblend blend hot grease temperature over and creamy if lightly rows if cups grease about half combine or nut blend hot grease weeks colonel and grease temperature over blend form and creamy cups grease about half combine or nut if been tbsp ingredients blend hot grease done and grease about combine grease inverted and creamy cups grease about half combine or nut if clean marketing grease low combine cooled and creamy cups grease about half combine or nut if lightly cinnamon,,,,
chickpea-zucchini curry,indian	instant ind	vegetarian""",2 servings,"1    8oz can of tomato sauce	2 ts instant india	1/4 ts mashed garlic	1/4 c  raisons	1    16oz can drained garbanzo beans	1    piece sliced seitan",as eggs combine which speed blend bread done except flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally been tbsp that blend hot grease done and grease temperature over blend form and creamy cups grease done ball sauceblend if been tbsp ingredients blend hot grease done and grease done and creamy if lightly cinnamon if cups grease wjuices ball remaining sauceblend blend hot grease temperature over and creamy if lightly rows if cups grease about half combine or nut blend hot grease weeks colonel and grease temperature over blend form and creamy cups grease about half combine or nut if been tbsp ingredients blend hot grease done and grease about combine grease inverted and creamy cups grease about half combine or nut if clean marketing grease low combine cooled and creamy cups grease about half combine or nut if lightly cinnamon,,
